,国名,英語国名,コード
165,パレスチナ,Palestinian Territory,PSE
166,東ティモール,Timor-Leste,TLS
167,ピトケアン島,Pitcairn,PCN
168,フィジー諸島,Fiji,FJI
169,フィリピン,Philippines,PHL
170,フィンランド,Finland,FIN
171,マン島,Isle of Man,IMN
172,フォークランド（マルビナス）諸島,Falkland Islands,FLK
173,フランス,France,FRA
174,フランス領ギアナ,French Guiana,GUF
175,フランス領ポリネシア,French Polynesia,PYF
176,ブータン,Bhutan,BTN
177,ブラジル,Brazil,BRA
178,ブルガリア,Bulgaria,BGR
179,ブルキナファソ,Burkina Faso,BFA
180,ブルネイ,Brunei Darussalam,BRN
181,ブルンジ,Burundi,BDI
182,プエルトリコ,Puerto Rico,PRI
183,米国,United States of America,USA
184,米領サモア,American Samoa,ASM
185,米領バージン諸島,"Virgin Islands, U.S.",VIR
186,ベトナム,Viet Nam,VNM
187,ベナン,Benin,BEN
188,ベネズエラ,Venezuela,VEN
189,ベラルーシ,Belarus,BLR
190,ベリーズ,Belize,BLZ
191,ベルギー,Belgium,BEL
192,ペルー,Peru,PER
193,香港,Hong Kong,HKG
194,ホンジュラス,Honduras,HND
195,ボスニア・ヘルツェゴビナ,Bosnia and Herzegovina,BIH
196,ボツワナ,Botswana,BWA
197,ボリビア,Bolivia,BOL
198,ポーランド,Poland,POL
199,ポルトガル,Portugal,PRT
200,マーシャル諸島,Marshall Islands,MHL
201,マイヨット島,Mayotte,MYT
202,マカオ,Macao,MAC
203,マダガスカル,Madagascar,MDG
204,マラウイ,Malawi,MWI
205,マリ,Mali,MLI
206,マルタ,Malta,MLT
207,マルチニーク島,Martinique,MTQ
208,マレーシア,Malaysia,MYS
209,ミクロネシア連邦,Micronesia,FSM
210,ミッドウェー諸島,Midway Atoll,MID
211,南アフリカ,South Africa,ZAF
212,ミャンマー,Myanmar,MMR
213,メキシコ,Mexico,MEX
214,モーリシャス,Mauritius,MUS
215,モーリタニア,Mauritania,MRT
216,モザンビーク,Mozambique,MOZ
217,モナコ,Monaco,MCO
218,モルディブ,Maldives,MDV
219,モルドバ,Moldova,MDA
220,モロッコ,Morocco,MAR
221,モンゴル,Mongolia,MNG
222,モンセラット,Montserrat,MSR
223,モンテネグロ,Montenegro,MNE
224,ヨルダン,Jordan,JOR
225,ラオス,Lao,LAO
226,ラトビア,Latvia,LVA
227,リトアニア,Lithuania,LTU
228,リヒテンシュタイン,Liechtenstein,LIE
229,リビア,Libyan Arab Jamahiriya,LBY
230,リベリア,Liberia,LBR
231,ルーマニア,Romania,ROU
232,ジブラルタル,Gibraltar,GIB
233,ルクセンブルク,Luxembourg,LUX
234,ルワンダ,Rwanda,RWA
235,レソト,Lesotho,LSO
236,レバノン,Lebanon,LBN
237,レユニオン,Reunion,REU
238,ロシア,Russian Federation,RUS
239,ワリス・フテュナ諸島,Wallis and Futuna,WLF
240,その他の国・地域,,ZZZ
